  0.0000   0.0097
  0.1000   0.0124
  0.2000   0.0158
  0.3000   0.0200
  0.4000   0.0252
  0.5000   0.0316
  0.6000   0.0395
  0.7000   0.0491
  0.8000   0.0608
  0.9000   0.0748
  1.0000   0.0916
  1.1000   0.1116
  1.2000   0.1353
  1.3000   0.1632
  1.4000   0.1958
  1.5000   0.2339
  1.6000   0.2779
  1.7000   0.3286
  1.8000   0.3865
  1.9000   0.4525
  2.0000   0.5270
  2.1000   0.6108
  2.2000   0.7043
  2.3000   0.8081
  2.4000   0.9226
  2.5000   1.0481
  2.6000   1.1846
  2.7000   1.3323
  2.8000   1.4910
  2.9000   1.6602
  3.0000   1.8394
  3.1000   2.0278
  3.2000   2.2243
  3.3000   2.4277
  3.4000   2.6365
  3.5000   2.8489
  3.6000   3.0631
  3.7000   3.2770
  3.8000   3.4884
  3.9000   3.6948
  4.0000   3.8940
  4.1000   4.0834
  4.2000   4.2607
  4.3000   4.4235
  4.4000   4.5697
  4.5000   4.6971
  4.6000   4.8039
  4.7000   4.8888
  4.8000   4.9502
  4.9000   4.9875
  5.0000   5.0000
  5.1000   4.9875
  5.2000   4.9502
  5.3000   4.8888
  5.4000   4.8039
  5.5000   4.6971
  5.6000   4.5697
  5.7000   4.4235
  5.8000   4.2607
  5.9000   4.0834
  6.0000   3.8940
  6.1000   3.6948
  6.2000   3.4884
  6.3000   3.2770
  6.4000   3.0631
  6.5000   2.8489
  6.6000   2.6365
  6.7000   2.4277
  6.8000   2.2243
  6.9000   2.0278
  7.0000   1.8394
  7.1000   1.6602
  7.2000   1.4910
  7.3000   1.3323
  7.4000   1.1846
  7.5000   1.0481
  7.6000   0.9226
  7.7000   0.8081
  7.8000   0.7043
  7.9000   0.6108
  8.0000   0.5270
  8.1000   0.4525
  8.2000   0.3865
  8.3000   0.3286
  8.4000   0.2779
  8.5000   0.2339
  8.6000   0.1958
  8.7000   0.1632
  8.8000   0.1353
  8.9000   0.1116
  9.0000   0.0916
  9.1000   0.0748
  9.2000   0.0608
  9.3000   0.0491
  9.4000   0.0395
  9.5000   0.0316
  9.6000   0.0252
  9.7000   0.0200
  9.8000   0.0158
  9.9000   0.0124
 10.0000   0.0097
